OldNum	Post1962	NouvNum	CentroidX	CentroidY	WKT
		50-0 	614700	146024 	MULTILINESTRING ((614400 145824,615000 145824,615000 146224,614400 146224,614400 145824))
		51-0 	615300	146024 	MULTILINESTRING ((615000 145824,615600 145824,615600 146224,615000 146224,615000 145824))
		52-0 	615900	146024 	MULTILINESTRING ((615600 145824,616200 145824,616200 146224,615600 146224,615600 145824))
		53-0 	616500	146024 	MULTILINESTRING ((616200 145824,616800 145824,616800 146224,616200 146224,616200 145824))
		54-0 	617100	146024 	MULTILINESTRING ((616800 145824,617400 145824,617400 146224,616800 146224,616800 145824))
		55-0 	617700	146024 	MULTILINESTRING ((617400 145824,618000 145824,618000 146224,617400 146224,617400 145824))
		56-0 	618300	146024 	MULTILINESTRING ((618000 145824,618600 145824,618600 146224,618000 146224,618000 145824))
		57-0 	618900	146024 	MULTILINESTRING ((618600 145824,619200 145824,619200 146224,618600 146224,618600 145824))
		58-0 	619500	146024 	MULTILINESTRING ((619200 145824,619800 145824,619800 146224,619200 146224,619200 145824))
		59-0 	620100	146024 	MULTILINESTRING ((619800 145824,620400 145824,620400 146224,619800 146224,619800 145824))
		60-0 	620700	146024 	MULTILINESTRING ((620400 145824,621000 145824,621000 146224,620400 146224,620400 145824))
		61-0 	621300	146024 	MULTILINESTRING ((621000 145824,621600 145824,621600 146224,621000 146224,621000 145824))
		0-1 	584700	145624 	MULTILINESTRING ((584400 145424,585000 145424,585000 145824,584400 145824,584400 145424))
		1-1 	585300	145624 	MULTILINESTRING ((585000 145424,585600 145424,585600 145824,585000 145824,585000 145424))
		2-1 	585900	145624 	MULTILINESTRING ((585600 145424,586200 145424,586200 145824,585600 145824,585600 145424))
		3-1 	586500	145624 	MULTILINESTRING ((586200 145424,586800 145424,586800 145824,586200 145824,586200 145424))
		4-1 	587100	145624 	MULTILINESTRING ((586800 145424,587400 145424,587400 145824,586800 145824,586800 145424))
		5-1 	587700	145624 	MULTILINESTRING ((587400 145424,588000 145424,588000 145824,587400 145824,587400 145424))
		6-1 	588300	145624 	MULTILINESTRING ((588000 145424,588600 145424,588600 145824,588000 145824,588000 145424))
		7-1 	588900	145624 	MULTILINESTRING ((588600 145424,589200 145424,589200 145824,588600 145824,588600 145424))
		8-1 	589500	145624 	MULTILINESTRING ((589200 145424,589800 145424,589800 145824,589200 145824,589200 145424))
		9-1 	590100	145624 	MULTILINESTRING ((589800 145424,590400 145424,590400 145824,589800 145824,589800 145424))
		10-1 	590700	145624 	MULTILINESTRING ((590400 145424,591000 145424,591000 145824,590400 145824,590400 145424))
		11-1 	591300	145624 	MULTILINESTRING ((591000 145424,591600 145424,591600 145824,591000 145824,591000 145424))
		12-1 	591900	145624 	MULTILINESTRING ((591600 145424,592200 145424,592200 145824,591600 145824,591600 145424))
		13-1 	592500	145624 	MULTILINESTRING ((592200 145424,592800 145424,592800 145824,592200 145824,592200 145424))
		14-1 	593100	145624 	MULTILINESTRING ((592800 145424,593400 145424,593400 145824,592800 145824,592800 145424))
		15-1 	593700	145624 	MULTILINESTRING ((593400 145424,594000 145424,594000 145824,593400 145824,593400 145424))
		16-1 	594300	145624 	MULTILINESTRING ((594000 145424,594600 145424,594600 145824,594000 145824,594000 145424))
		17-1 	594900	145624 	MULTILINESTRING ((594600 145424,595200 145424,595200 145824,594600 145824,594600 145424))
		18-1 	595500	145624 	MULTILINESTRING ((595200 145424,595800 145424,595800 145824,595200 145824,595200 145424))
		19-1 	596100	145624 	MULTILINESTRING ((595800 145424,596400 145424,596400 145824,595800 145824,595800 145424))
		20-1 	596700	145624 	MULTILINESTRING ((596400 145424,597000 145424,597000 145824,596400 145824,596400 145424))
		21-1 	597300	145624 	MULTILINESTRING ((597000 145424,597600 145424,597600 145824,597000 145824,597000 145424))
		22-1 	597900	145624 	MULTILINESTRING ((597600 145424,598200 145424,598200 145824,597600 145824,597600 145424))
		23-1 	598500	145624 	MULTILINESTRING ((598200 145424,598800 145424,598800 145824,598200 145824,598200 145424))
		24-1 	599100	145624 	MULTILINESTRING ((598800 145424,599400 145424,599400 145824,598800 145824,598800 145424))
		25-1 	599700	145624 	MULTILINESTRING ((599400 145424,600000 145424,600000 145824,599400 145824,599400 145424))
		26-1 	600300	145624 	MULTILINESTRING ((600000 145424,600600 145424,600600 145824,600000 145824,600000 145424))
		27-1 	600900	145624 	MULTILINESTRING ((600600 145424,601200 145424,601200 145824,600600 145824,600600 145424))
		28-1 	601500	145624 	MULTILINESTRING ((601200 145424,601800 145424,601800 145824,601200 145824,601200 145424))
		29-1 	602100	145624 	MULTILINESTRING ((601800 145424,602400 145424,602400 145824,601800 145824,601800 145424))
		30-1 	602700	145624 	MULTILINESTRING ((602400 145424,603000 145424,603000 145824,602400 145824,602400 145424))
		31-1 	603300	145624 	MULTILINESTRING ((603000 145424,603600 145424,603600 145824,603000 145824,603000 145424))
		32-1 	603900	145624 	MULTILINESTRING ((603600 145424,604200 145424,604200 145824,603600 145824,603600 145424))
		33-1 	604500	145624 	MULTILINESTRING ((604200 145424,604800 145424,604800 145824,604200 145824,604200 145424))
		34-1 	605100	145624 	MULTILINESTRING ((604800 145424,605400 145424,605400 145824,604800 145824,604800 145424))
		35-1 	605700	145624 	MULTILINESTRING ((605400 145424,606000 145424,606000 145824,605400 145824,605400 145424))
