nodeID|nodetitle|field_deptf_seine|OldNum
34761|41-55|67U|
34762|42-55|67V|
34772|21-56|72A|
34764|13-56|70C|
34765|14-56|70D|
34766|15-56|70E|
34767|16-56|71A|
34768|17-56|71B|
34769|18-56|71C|
34770|19-56|71D|
34771|20-56|71E|
34754|25-55|63Y|331
34773|22-56|72B|
34774|23-56|72C|
34755|26-55|64U|332
34778|29-56|73D|
34779|30-56|73E|
34780|31-56|74A|
34781|41-56|76A|
34759|30-55|64Y|
34783|43-56|76C|
34796|25-57|72J|
34785|14-57|70I|
34786|15-57|70J|
34787|16-57|71F|
34788|17-57|71G|
34789|18-57|71H|
34790|19-57|71I|
34795|24-57|72I|
34792|21-57|72F|
34793|22-57|72G|
34794|23-57|72H|
34820|24-58|72N|
34821|25-58|72O|
34798|27-57|73G|
34799|28-57|73H|
34800|29-57|73I|
34801|30-57|73J|
34802|31-57|74F|
34803|42-57|76G|
34804|43-57|76H|
34805|44-57|76I|
34806|45-57|76J|
34807|46-57|77F|
34784|8-57||
34808|7-58||
34810|14-58|70N|
34811|15-58|70O|
34812|16-58|71K|
34813|17-58|71L|
34814|18-58|71M|
34815|19-58|71N|
34816|20-58|71O|
34817|21-58|72K|
34818|22-58|72L|
34819|23-58|72M|
34791|20-57|71J|
34823|27-58|73L|
34822|26-58|73K|
34824|28-58|73M|
34825|29-58|73N|
34826|30-58|73O|
34827|31-58|74K|
34828|32-58|74L|
34829|37-58-59||
34809|8-58||
34831|40-58|75O|
34832|45-58-59|76O-T|
34833|46-58|77K|
34830|38-58-59|75M-N|
34863|24-60|72X|
34834|8-59||
34836|18-59|71R|
34837|19-59|71S|
34838|20-59|71T|
34839|21-59|72P|
34840|22-59|72Q|
34841|23-59|72R|
34842|24-59|72S|
34844|26-59|73P|
34865|26-60|73U|
34845|27-59|73Q|
34846|28-59|73R|
34847|30-59|73T|
34849|32-59|74Q|
34850|33-59|74R|
34851|38-59|75R|
34852|39-59|75S|
34853|40-59|75T|
34854|41-59|76P|
34855|46-59|77P|
34856|17-60|71V|
34857|18-60|71W|
34858|19-60|71X|
34859|20-60|71Y|
34860|21-60|72U|
34861|22-60|72V|
34862|23-60|72W|
34843|25-59|72T|
34864|25-60|72Y|
34884|26-61|82A|
34866|27-60|73V|
34867|28-60|73W|
34868|29-60|73X|
34869|30-60|73Y|
34870|31-60|74U|
34871|32-60|74V|
34872|38-60|75W|
34873|39-60|75X|
34874|41-60|76U|
34875|42-60-43|76V-W|
34876|18-61|80C|
34877|19-61|80D|
34878|20-61|80E|
34879|21-61|81A|
34881|23-61|81C|
34882|24-61|81D|
34883|25-61|81E|
34885|27-61|82B|
34835|15-59-16|70T-71P|
34887|21-62|81F|
34888|22-62|81G|
34889|23-62|81H|
34890|21-63|82K|
34891|22-63|82L|
34892|31-64|83P|
34893|32-64|83Q|
34894|31-65|83U|
34895|32-65|83V|
34896|31-66|91A|
34897|32-66|91B|
34898|33-66|91C|
34899|25-67|89J|
34901|33-67|91H|
34902|42-67|93G|
34903|19-71|95D|
34904|20-71|95E|
34905|21-71|96A|
34906|19-72|95I|
34907|20-72|95J|
34908|21-72|96F|
34909|23-75|96W|
45409|28-56|73C|
34880|22-61|81B|
34573|11-40|36U|
34574|18-40-19|37W-X|93
34575|31-40|40U|106
34576|32-40|40V|107
34663|25-50|55Y|281
34677|27-51|64B|298
